施設名称	年度	最小年齢	最大年齢	入所可能人数	空き人数	指数	階層	備考	標準地域コード
五反田第二保育園	2017	5	5	""	""	""	""	""	http://statdb.nstac.go.jp/lod/sac/C13109
小山台保育園	2017	0	0	""	7	43	D24	""	http://statdb.nstac.go.jp/lod/sac/C13109
小山台保育園	2017	1	1	""	7	43	D13	""	http://statdb.nstac.go.jp/lod/sac/C13109
小山台保育園	2017	2	2	""	1	""	""	公表不可	http://statdb.nstac.go.jp/lod/sac/C13109
小山台保育園	2017	3	3	""	2	42	D19	""	http://statdb.nstac.go.jp/lod/sac/C13109
小山台保育園	2017	4	4	""	0	""	""	公表不可	http://statdb.nstac.go.jp/lod/sac/C13109
小山台保育園	2017	5	5	""	0	""	""	公表不可	http://statdb.nstac.go.jp/lod/sac/C13109
品川保育園	2017	0	0	""	7	43	D22	""	http://statdb.nstac.go.jp/lod/sac/C13109
品川保育園	2017	1	1	""	14	41	D9	""	http://statdb.nstac.go.jp/lod/sac/C13109
品川保育園	2017	2	2	""	2	42	D18	""	http://statdb.nstac.go.jp/lod/sac/C13109
品川保育園	2017	3	3	""	0	""	""	空きなし	http://statdb.nstac.go.jp/lod/sac/C13109
品川保育園	2017	4	4	""	0	""	""	空きなし	http://statdb.nstac.go.jp/lod/sac/C13109
品川保育園	2017	5	5	""	0	""	""	空きなし	http://statdb.nstac.go.jp/lod/sac/C13109
清水台保育園	2017	0	0	""	7	41	D13	""	http://statdb.nstac.go.jp/lod/sac/C13109
清水台保育園	2017	1	1	""	4	44	D20	""	http://statdb.nstac.go.jp/lod/sac/C13109
清水台保育園	2017	2	2	""	4	43	D11	""	http://statdb.nstac.go.jp/lod/sac/C13109
清水台保育園	2017	3	3	""	2	42	C	""	http://statdb.nstac.go.jp/lod/sac/C13109
清水台保育園	2017	4	4	""	0	""	""	空きなし	http://statdb.nstac.go.jp/lod/sac/C13109
清水台保育園	2017	5	5	""	0	""	""	空きなし	http://statdb.nstac.go.jp/lod/sac/C13109
水神保育園	2017	0	0	""	7	43	D14	""	http://statdb.nstac.go.jp/lod/sac/C13109
水神保育園	2017	1	1	""	9	40	D9	""	http://statdb.nstac.go.jp/lod/sac/C13109
水神保育園	2017	2	2	""	0	""	""	空きなし	http://statdb.nstac.go.jp/lod/sac/C13109
水神保育園	2017	3	3	""	2	42	D20	""	http://statdb.nstac.go.jp/lod/sac/C13109
水神保育園	2017	4	4	""	0	28	C	""	http://statdb.nstac.go.jp/lod/sac/C13109
水神保育園	2017	5	5	""	0	""	""	空きなし	http://statdb.nstac.go.jp/lod/sac/C13109
台場保育園	2017	0	0	""	9	40	D17	""	http://statdb.nstac.go.jp/lod/sac/C13109
台場保育園	2017	1	1	""	12	40	D9	""	http://statdb.nstac.go.jp/lod/sac/C13109
